route_id,stop_id,stop_name,stop_lat,stop_lon
189,22535,Begumpur Extension,28.728464,77.075951
189,4051,Police Station Begumpur,28.72244,77.071418
189,981,Rohini Sec-21,28.7188,77.069767
189,982,Poothkalan,28.71589,77.07422
189,406,Pooth Kalan,28.714257,77.076933
189,984,Brahm Shakti Hospital,28.712372,77.080713
189,404,Krishna Vihar,28.709736,77.081042
189,985,Buddh Vihar,28.706783,77.084171
189,987,Mangol Puri Y Block,28.702762,77.089612
189,988,Mangol Pur Khurd,28.700117,77.094277
189,989,Avantika Xing,28.698384,77.097225
189,990,Mangolpur Kalan Village,28.695671,77.101095
189,991,Mangol Pur School (Outer Ring Road),28.694414,77.106315
189,992,Rohini Depot III,28.695494,77.108823
189,993,Puspanjali Enclave Rohini Depot 3,28.696609,77.112857
189,994,Kali Mata Mandir,28.697446,77.115993
189,995,Deepali Chowk Ring Road,28.698196,77.119004
189,996,Saraswati Vihar C Block,28.700141,77.12472
189,997,Madhuban Chowk Outer Ring Road,28.701935,77.128048
189,2605,Madhuban Chowk Pitampura Metro Stn,28.702623,77.132828
189,2606,Pitampura JD Block,28.701974,77.134322
189,2607,Vaishali Enclave / Kapil Vihar,28.699828,77.137505
189,2608,Kohat Enclave Metro Station,28.697347,77.142158
189,2609,Pitampura ND Block,28.695909,77.145887
189,2009,Netaji Subhash Palace (Wazirpur Depot) Road No 41,28.694143,77.151048
189,4346,Wazirpur Depot / Subhash Place Depot,28.69485,77.15485
189,1438,Prem Bari Pull,28.700253,77.158334
189,1439,Richi Rich,28.701286,77.161926
189,1440,Ashok Vihar Crossing,28.701953,77.164286
189,2610,Kewal Park,28.709765,77.175333
189,239,Azadpur Terminal,28.707525,77.177797
139,246,GTK Depot,28.731183,77.158617
139,248,Mukraba Chowk / Sanjay Gandhi Transport Nagar,28.738473,77.154112
139,249,Libas Pur GT Road,28.752467,77.149383
139,250,Swaroop Nagar GT Road,28.75805,77.14765
139,251,Gurudwara Siraspur GT Road,28.76486,77.145315
139,1194,Nangli Puna,28.7729,77.14305
139,1195,Jain Mandir,28.777717,77.142033
139,1196,Budhpur GT Road,28.78185,77.141117
